DHID,MIDX,MIDY,MIDZ,LENGTH,FROM,TO,GEOCOD,FE,SIO2,AL2O3,P,MN,LOI,S,TIO2,MGO,CAO,ACDENS,ASS_TO,LOI425,LOI650,ORE
DD17BS4B0004,514855.353,7498236.808,570.096,1,7,8,435,50.49,16.68,3.79,0.062,0.02,6.57,0.057,0.24,0.02,0.005,-99,99.88,5.24,0.97,0
DD17BS4B0004,514855.353,7498236.8,569.096,1,8,9,435,52.96,14.43,3.13,0.06,0.04,6.29,0.05,0.14,0.03,0.01,-99,100.14,5.09,0.91,0
DD17BS4B0004,514855.352,7498236.791,568.096,1,9,10,435,63.18,6.22,1,0.052,0.02,2.22,0.022,0.04,0.03,0.01,-99,100.12,1.8,0.29,0
DD17BS4B0004,514855.352,7498236.783,567.096,1,10,11,435,62.39,6.54,0.94,0.078,0.02,2.75,0.024,0.04,0.02,0.02,-99,99.84,2.28,0.3,0
DD17BS4B0004,514855.352,7498236.774,566.096,1,11,12,435,60.18,7.81,2.11,0.102,0.05,3.49,0.028,0.09,0.03,0.01,-99,100.07,2.75,0.57,0
DD17BS4B0004,514855.351,7498236.766,565.096,1,12,13,435,65.68,2.7,0.57,0.088,0.04,2.47,0.021,0.05,0.03,0.02,-99,100.14,2.17,0.19,0
DD17BS4B0004,514855.351,7498236.758,564.096,1,13,14,435,58.62,8.34,2.98,0.097,0.05,4.23,0.031,0.13,0.03,0.01,-99,100.02,3.2,0.84,0
DD17BS4B0004,514855.351,7498236.749,563.096,1,14,15,435,66.01,2.63,0.51,0.072,0.04,2.25,0.016,0.08,0.04,0.01,-99,100.24,1.94,0.18,0
DD17BS4B0004,514855.352,7498236.741,562.096,1,15,16,435,66.39,2.29,0.44,0.073,0.02,1.99,0.016,0.02,0.02,0.01,-99,99.98,1.55,0.19,0
DD17BS4B0005,515093.778,7498941.542,579.415,1,0,1,435,58.71,6.61,3.78,0.071,0.04,4.92,0.02,0.35,0.06,0.05,-99,100.18,3.92,0.76,0
DD17BS4B0005,515093.769,7498941.537,578.415,1,1,2,435,57.37,7.2,2.15,0.1,0.03,6.83,0.041,0.1,0.13,1.14,-99,100.1,5.3,1.36,0
DD17BS4B0005,515093.76,7498941.532,577.415,1,2,3,435,54.18,14.33,2.15,0.079,0.03,5.11,0.034,0.11,0.08,0.19,-99,99.87,4.14,0.69,0
DD17BS4B0005,515093.751,7498941.527,576.415,1,3,4,435,53.51,15.71,2.42,0.105,0.02,4.58,0.029,0.11,0.08,0.06,-99,99.95,3.68,0.67,0
DD17BS4B0005,515093.742,7498941.523,575.415,1,4,5,435,56.9,10.52,2.21,0.117,0.03,5.02,0.028,0.1,0.14,0.16,-99,100.02,4.08,0.65,0
DD17BS4B0005,515093.735,7498941.521,574.415,1,5,6,435,49.84,15.31,4.23,0.073,0.01,8.3,0.043,0.2,0.06,0.04,-99,99.84,6.98,0.95,0
DD17BS4B0005,515093.73,7498941.522,573.415,1,6,7,435,47.83,16.49,5.27,0.076,0.02,9.18,0.064,0.22,0.07,0.05,-99,100.24,7.44,1.31,0
DD17BS4B0005,515093.725,7498941.524,572.415,1,7,8,435,52.42,11.2,3.43,0.077,0.02,9.68,0.069,0.23,0.05,0.03,-99,100.06,8.58,0.72,0
DD17BS4B0005,515093.72,7498941.526,571.415,1,8,9,435,49.96,14.35,4.1,0.066,0.05,9.25,0.078,0.11,0.04,0.03,-99,99.89,7.85,0.97,0
DD17BS4B0005,515093.715,7498941.527,570.415,1,9,10,435,50.44,12.05,4.74,0.072,0.04,10.27,0.1,0.19,0.03,0.04,-99,100.08,8.78,1,0
DD17BS4B0005,515093.711,7498941.529,569.415,1,10,11,435,50.89,12.42,4.54,0.073,0.02,9.22,0.095,0.22,0.05,0.06,-99,99.94,7.65,1.1,0
DD17BS4B0005,515093.706,7498941.53,568.415,1,11,12,435,58.99,6,1.5,0.078,0.03,7.85,0.052,0.03,0.02,0.03,-99,100.2,6.96,0.59,0
DD17BS4B0005,515093.701,7498941.532,567.415,1,12,13,435,59.67,4.48,1.44,0.063,0.02,8.08,0.051,0.05,0.05,0.04,-99,99.85,7.2,0.57,0
DD17BS4B0005,515093.696,7498941.534,566.415,1,13,14,435,55.49,9.38,2.56,0.053,0.02,8.09,0.054,0.11,0.04,0.03,-99,99.96,7.07,0.68,0
DD17BS4B0005,515093.691,7498941.535,565.415,1,14,15,435,62.79,4.63,1.04,0.053,0.01,4.04,0.029,0.05,0.01,0.01,-99,99.82,3.47,0.34,0
DD17BS4B0005,515093.688,7498941.538,564.415,1,15,16,435,62.97,4.87,1.11,0.058,0.02,3.69,0.032,0.09,0.03,0.02,-99,100.17,3.08,0.34,0
DD17BS4B0005,515093.686,7498941.541,563.415,1,16,17,435,60.61,6.09,1.66,0.065,0.02,4.88,0.039,0.05,0.03,0.03,-99,99.77,4.11,0.52,0
DD17BS4B0005,515093.684,7498941.545,562.415,1,17,18,435,61.66,3.18,1.09,0.063,0.02,2.83,0.03,0.07,0.01,0.01,-99,96.04,2.65,0.07,0
DD17BS4B0005,515093.683,7498941.548,561.415,1,18,19,435,60.3,4.63,1.98,0.113,0.02,6.6,0.047,0.08,0.02,0.01,-99,100,5.78,0.51,0
DD17BS4B0005,515093.681,7498941.552,560.415,1,19,20,435,53.81,7.4,4.62,0.112,0.03,9.99,0.058,0.24,0.03,0.01,-99,99.77,8.75,0.86,0
DD17BS4B0005,515093.679,7498941.556,559.415,1,20,21,402,64.13,1.98,0.95,0.083,0.03,5.28,0.028,0.02,0.01,0.01,-99,100.28,4.74,0.35,0
DD17BS4B0005,515093.677,7498941.559,558.415,1,21,22,402,65.02,1.66,0.73,0.104,0.02,4.45,0.026,0.02,0.01,0.01,-99,100.21,4,0.29,0
DD17BS4B0005,515093.675,7498941.563,557.415,1,22,23,402,64.86,1.92,0.92,0.085,0.02,4.32,0.024,0.02,0.01,0.01,-99,100.26,3.88,0.3,0
DD17BS4B0005,515093.673,7498941.566,556.415,1,23,24,402,64.89,1.57,1.01,0.089,0.02,4.35,0.028,0.03,0.01,0.01,-99,100.11,3.88,0.29,0
DD17BS4B0005,515093.672,7498941.57,555.415,1,24,25,402,63.23,2.06,1.58,0.099,0.02,5.7,0.035,0.09,0.02,0.02,-99,100.27,5.07,0.4,0
DD17BS4B0005,515093.669,7498941.575,554.415,1,25,26,402,59.14,3.31,2.65,0.076,0.01,8.84,0.052,0.12,0.04,0.02,-99,99.93,7.93,0.6,0
DD17BS4B0005,515093.667,7498941.582,553.416,1,26,27,402,57.98,3.42,3.06,0.133,0.02,9.91,0.061,0.23,0.06,0.02,-99,100.19,8.87,0.7,0
DD17BS4B0005,515093.665,7498941.588,552.416,1,27,28,402,63.4,1.93,1.54,0.159,0.03,5.34,0.025,0.19,0.04,0.02,-99,100.24,4.74,0.4,0
DD17BS4B0005,515093.662,7498941.595,551.416,1,28,29,402,63.73,1.93,1.41,0.106,0.02,5.13,0.025,0.13,0.04,0.03,-99,100.19,4.54,0.4,0
DD17BS4B0005,515093.66,7498941.602,550.416,1,29,30,402,65.37,1.32,0.95,0.087,0.03,3.56,0.019,0.07,0.04,0.02,-99,99.76,3.13,0.26,0
DD17BS4B0005,515093.658,7498941.609,549.416,1,30,31,402,64.61,1.49,1.1,0.124,0.03,4.69,0.021,0.03,0.03,0.02,-99,100.18,4.22,0.31,0
DD17BS4B0005,515093.655,7498941.616,548.416,1,31,32,402,61.1,2.44,2.21,0.21,0.04,7.16,0.035,0.07,0.05,0.03,-99,100.04,6.46,0.48,0
DD17BS4B0005,515093.653,7498941.622,547.416,1,32,33,402,57.04,3.99,3.47,0.191,0.06,9.87,0.039,0.3,0.11,0.04,-99,100.11,8.9,0.68,0
DD17BS4B0005,515093.651,7498941.629,546.416,1,33,34,402,57.93,4.75,4.11,0.184,0.04,7.06,0.027,0.42,0.05,0.02,-99,99.89,5.6,1.18,0
DD17BS4B0005,515093.648,7498941.636,545.416,1,34,35,402,61.29,3.62,2.93,0.087,0.03,5.41,0.021,0.28,0.02,0.01,-99,100.26,4.26,0.91,0
DD17BS4B0005,515093.647,7498941.641,544.416,1,35,36,402,63.12,2.2,1.49,0.086,0.06,5.75,0.02,0.06,0.03,0.02,-99,100.17,5.12,0.5,0
DD17BS4B0005,515093.646,7498941.646,543.416,1,36,37,402,64.75,1.06,0.58,0.095,0.03,5.44,0.016,0.01,0.02,0.01,-99,100.02,5.04,0.28,0
DD17BS4B0005,515093.644,7498941.65,542.416,1,37,38,402,65.91,0.92,0.34,0.075,0.04,4.01,0.011,0.01,0.02,0.01,-99,99.82,3.64,0.21,0
DD17BS4B0005,515093.643,7498941.655,541.416,1,38,39,402,65.06,1.1,0.55,0.087,0.04,5.15,0.017,0.02,0.01,0.01,-99,100.19,4.69,0.29,0
DD17BS4B0005,515093.642,7498941.659,540.416,1,39,40,402,65.19,1.11,0.44,0.085,0.03,5.04,0.016,0.02,0.01,0.01,-99,100.14,4.63,0.26,0
DD17BS4B0005,515093.641,7498941.663,539.416,1,40,41,402,60.13,4.27,3.25,0.116,0.04,6.09,0.019,0.1,0.02,0.01,-99,100.13,4.87,0.99,0
DD17BS4B0005,515093.64,7498941.668,538.416,1,41,42,402,60.77,3.35,2.41,0.178,0.1,6.78,0.028,0.07,0.04,0.02,-99,100.25,5.91,0.67,0
DD17BS4B0005,515093.638,7498941.672,537.416,1,42,43,402,63.84,2,1.22,0.104,0.06,5.03,0.017,0.02,0.03,0.01,-99,100,4.5,0.37,0
DD17BS4B0005,515093.637,7498941.676,536.416,1,43,44,402,64.15,1.7,0.99,0.116,0.04,5.26,0.015,0.02,0.03,0.01,-99,100.12,4.75,0.34,0
DD17BS4B0005,515093.636,7498941.681,535.416,1,44,45,402,63.5,1.93,1.19,0.139,0.03,5.51,0.012,0.01,0.03,0.01,-99,99.89,4.98,0.39,0
DD17BS4B0005,515093.634,7498941.688,534.416,1,45,46,402,62.87,1.43,1.14,0.193,0.07,7.09,0.013,0.01,0.04,0.01,-99,100.22,6.52,0.41,0
DD17BS4B0005,515093.631,7498941.699,533.416,1,46,47,412,54.72,5.47,4.4,0.209,0.06,10.79,0.016,0.13,0.06,0.01,-99,99.77,9.31,1.24,0
DD17BS4B0005,515093.628,7498941.709,532.416,1,47,48,412,55.23,5.37,5.03,0.165,0.02,9.86,0.017,0.23,0.08,0.02,-99,100.1,8.36,1.22,0
DD17BS4B0005,515093.625,7498941.72,531.416,1,48,49,412,57.52,4.09,2.5,0.17,0.02,10.4,0.018,0.08,0.05,0.01,-99,99.88,9.51,0.67,0
DD17BS4B0005,515093.622,7498941.731,530.416,1,49,50,412,55.86,4.52,4.18,0.169,0.01,10.85,0.022,0.12,0.07,0.02,-99,100.15,9.52,1.07,0
DD17BS4B0005,515093.619,7498941.741,529.416,1,50,51,412,59.69,2.64,1.65,0.188,0.03,9.94,0.011,0.04,0.05,0.02,-99,100.23,9.2,0.59,0
DD17BS4B0005,515093.616,7498941.752,528.416,1,51,52,412,58.34,3.43,2.6,0.148,0.02,9.75,0.011,0.08,0.04,0.01,-99,99.76,8.77,0.82,0
DD17BS4B0005,515093.613,7498941.762,527.416,1,52,53,412,62.81,2.02,0.66,0.104,0.03,6.99,0.007,0.02,0.04,0.01,-99,99.87,6.48,0.41,0
DD17BS4B0005,515093.61,7498941.773,526.416,1,53,54,412,62.26,3.07,1.2,0.105,0.02,6.16,0.007,0.02,0.09,0.02,-99,99.9,5.66,0.38,0
DD17BS4B0005,515093.607,7498941.783,525.416,1,54,55,412,63.06,3.43,1.45,0.097,0.02,4.47,0.005,0.02,0.21,0.04,-99,100.08,3.87,0.4,0
DD17BS4B0005,515093.602,7498941.798,524.417,1,55,56,412,64.54,2.22,0.83,0.116,0.03,4.11,0.005,0.02,0.04,0.01,-99,99.86,3.66,0.29,0
DD17BS4B0005,515093.597,7498941.816,523.417,1,56,57,412,49.71,11.55,6.71,0.174,0.01,9.78,0.009,0.2,0.07,0.02,-99,99.91,7.68,1.9,0
DD17BS4B0005,515093.592,7498941.834,522.417,1,57,58,412,57.56,4.52,2.91,0.196,0.02,9.74,0.01,0.08,0.05,0.01,-99,100.17,8.75,0.83,0
DD17BS4B0005,515093.587,7498941.852,521.417,1,58,59,412,57.58,5.68,2.46,0.18,0.04,8.81,0.01,0.06,0.06,0.02,-99,99.96,8.06,0.61,0
DD17BS4B0005,515093.583,7498941.87,520.417,1,59,60,412,55.86,15.49,0.8,0.118,0.04,3.4,0.004,0.02,0.04,0.01,-99,100,3.14,0.2,0
DD17BS4B0005,515093.578,7498941.887,519.417,1,60,61,412,51.6,20.16,0.95,0.124,0.02,4.55,0.006,0.02,0.05,0.01,-99,99.88,4.2,0.27,0
DD17BS4B0005,515093.573,7498941.905,518.418,1,61,62,412,51.43,20.43,1.03,0.182,0.02,4.45,0.005,0.02,0.06,0.01,-99,100.05,4.07,0.29,0
DD17BS4B0006,515205.482,7499105.804,545.249,1,3,4,435,63.03,1.65,1.63,0.042,0.06,6.19,0.013,0.08,0.03,0.01,-99,99.94,5.62,0.4,0
DD17BS4B0006,515205.475,7499105.809,544.249,1,4,5,435,61.82,2.51,1.95,0.071,0.05,6.92,0.016,0.08,0.03,0.01,-99,100.19,6.3,0.42,0
DD17BS4B0006,515205.469,7499105.805,543.249,1,5,6,435,60.92,2.26,2.7,0.069,0.05,7.59,0.02,0.12,0.03,0.02,-99,100.14,6.79,0.52,0
DD17BS4B0006,515205.464,7499105.791,542.249,1,6,7,435,57.96,2.19,3.54,0.079,0.01,11.12,0.022,0.17,0.04,0.02,-99,100.23,10.24,0.62,0
DD17BS4B0006,515205.459,7499105.777,541.249,1,7,8,435,60.68,2.37,2.55,0.106,0.03,8.03,0.016,0.08,0.05,0.02,-99,100.22,7.28,0.49,0
DD17BS4B0006,515205.453,7499105.763,540.25,1,8,9,435,62.37,2.17,1.79,0.085,0.05,6.16,0.015,0.07,0.05,0.02,-99,99.77,5.53,0.39,0
DD17BS4B0006,515205.448,7499105.749,539.25,1,9,10,435,61.8,2.97,2.66,0.06,0.04,5.52,0.014,0.12,0.07,0.03,-99,100.02,4.8,0.48,0
DD17BS4B0006,515205.443,7499105.735,538.25,1,10,11,435,60.92,2.53,2.99,0.058,0.03,6.83,0.016,0.28,0.05,0.02,-99,100.07,6.05,0.5,0
DD17BS4B0006,515205.438,7499105.721,537.25,1,11,12,435,62.19,2.3,2.3,0.076,0.03,6.1,0.012,0.09,0.06,0.02,-99,100.07,5.47,0.43,0
DD17BS4B0006,515205.432,7499105.707,536.25,1,12,13,435,55.28,6.21,5.29,0.137,0.03,8.58,0.017,0.18,0.14,0.04,-99,99.95,7.25,1.05,0
DD17BS4B0006,515205.427,7499105.693,535.25,1,13,14,435,61.09,2.74,2.4,0.133,0.03,7.09,0.012,0.1,0.04,0.01,-99,100.14,6.44,0.46,0
DD17BS4B0006,515205.422,7499105.679,534.25,1,14,15,435,60.49,2.42,2.54,0.138,0.02,8.2,0.012,0.09,0.05,0.01,-99,100.2,7.54,0.48,0
DD17BS4B0006,515205.416,7499105.664,533.25,1,15,16,435,62.24,2.78,2.03,0.117,0.03,5.67,0.01,0.15,0.04,0.01,-99,100.03,5.06,0.45,0
DD17BS4B0006,515205.411,7499105.649,532.25,1,16,17,435,61.65,1.81,1.24,0.143,0.02,8.56,0.013,0.05,0.02,0.01,-99,100.25,7.94,0.46,0
DD17BS4B0006,515205.405,7499105.634,531.251,1,17,18,435,51.95,6.79,6.84,0.147,0.02,11,0.023,0.24,0.1,0.01,-99,99.74,9.34,1.33,0
DD17BS4B0006,515205.399,7499105.619,530.251,1,18,19,435,53.95,5.14,5.15,0.099,0.02,11.95,0.02,0.29,0.08,0.01,-99,100.11,10.64,1.03,0
DD17BS4B0006,515205.394,7499105.604,529.251,1,19,20,435,51.78,6.64,7.39,0.081,0.02,11.53,0.018,0.28,0.07,0.01,-99,100.29,9.93,1.32,0
DD17BS4B0006,515205.388,7499105.589,528.251,1,20,21,435,57.9,3.97,3.38,0.134,0.05,9.27,0.014,0.1,0.05,0.01,-99,100.03,8.34,0.73,0
DD17BS4B0006,515205.382,7499105.574,527.251,1,21,22,435,62.25,1.91,1.58,0.125,0.04,7.15,0.01,0.04,0.03,0.01,-99,100.11,6.61,0.39,0
DD17BS4B0006,515205.377,7499105.559,526.251,1,22,23,435,54.33,4.47,4.69,0.065,0.04,12.68,0.025,0.08,0.09,0.01,-99,100.03,11.64,0.75,0
DD17BS4B0006,515205.371,7499105.544,525.251,1,23,24,435,55.2,4.39,3.78,0.045,0.04,12.58,0.022,0.24,0.08,0.01,-99,100.3,11.58,0.72,0
DD17BS4B0006,515205.365,7499105.529,524.252,1,24,25,435,51.7,6.01,5.91,0.047,0.1,12.49,0.022,1.01,0.09,0.01,-99,99.86,11.08,1.09,0
DD17BS4B0006,515205.359,7499105.514,523.252,1,25,26,435,51.33,5.95,5.99,0.062,0.05,12.33,0.02,1.72,0.08,0.01,-99,99.87,10.83,1.19,0
DD17BS4B0006,515205.351,7499105.498,522.252,1,26,27,435,44.39,12.88,10.42,0.042,0.01,11.5,0.025,1.54,0.08,0.01,-99,100.2,8.58,2.59,0
DD17BS4B0006,515205.344,7499105.483,521.252,1,27,28,412,38.03,18.99,14.27,0.081,0.005,10.65,0.025,1.03,0.13,0.02,-99,99.87,6.26,4.07,0
DD17BS4B0006,515205.336,7499105.467,520.252,1,28,29,412,52.52,7.95,6.1,0.133,0.005,9.69,0.015,0.49,0.08,0.02,-99,99.85,7.89,1.57,0
DD17BS4B0006,515205.329,7499105.451,519.252,1,29,30,412,61.3,3.12,2.91,0.116,0.01,5.88,0.009,0.13,0.05,0.01,-99,100.08,5.12,0.62,0
DD17BS4B0006,515205.321,7499105.436,518.252,1,30,31,412,61.89,2.98,2.66,0.096,0.02,5.19,0.007,0.2,0.04,0.01,-99,99.87,4.52,0.55,0
DD17BS4B0006,515205.314,7499105.42,517.253,1,31,32,412,44.06,14.61,11.87,0.17,0.02,9.45,0.009,0.49,0.09,0.01,-99,100.04,5.81,3.43,0
DD17BS4B0006,515205.307,7499105.405,516.253,1,32,33,412,33.32,21.61,17.75,0.095,0.03,11.87,0.012,0.59,0.13,0.02,-99,100.03,6.34,5.21,0
DD17BS4B0006,515205.299,7499105.389,515.253,1,33,34,412,63.29,1.95,1.1,0.148,0.02,6.1,0.006,0.03,0.03,0.01,-99,100.12,5.62,0.36,0
DD17BS4B0006,515205.292,7499105.373,514.253,1,34,35,412,63.28,1.62,1.29,0.181,0.02,6.24,0.006,0.03,0.03,0.02,-99,100.19,5.79,0.36,0
DD17BS4B0006,515205.283,7499105.358,513.253,1,35,36,412,55.16,5.92,4.8,0.162,0.02,9.96,0.007,0.14,0.07,0.02,-99,100.24,8.57,1.22,0
DD17BS4B0006,515205.274,7499105.343,512.253,1,36,37,412,64.14,1.58,0.94,0.124,0.02,5.48,0.005,0.02,0.03,0.01,-99,100.12,5.07,0.31,0
DD17BS4B0006,515205.265,7499105.328,511.253,1,37,38,412,64.65,1.13,0.69,0.102,0.02,5.55,0.005,0.01,0.03,0.01,-99,100.15,5.19,0.28,0
DD17BS4B0006,515205.256,7499105.313,510.254,1,38,39,412,63.59,1.34,1.05,0.138,0.02,6.29,0.006,0.01,0.04,0.02,-99,100.05,5.86,0.31,0
DD17BS4B0006,515205.247,7499105.298,509.254,1,39,40,412,64.21,1.28,0.84,0.137,0.02,5.63,0.005,0.02,0.03,0.01,-99,99.99,5.24,0.3,0
DD17BS4B0006,515205.238,7499105.282,508.254,1,40,41,412,47.7,10.98,9.04,0.151,0.05,10.5,0.008,0.36,0.15,0.04,-99,99.78,7.87,2.42,0
DD17BS4B0006,515205.229,7499105.267,507.254,1,41,42,412,63.49,2.1,0.64,0.11,0.03,5.97,0.004,0.02,0.03,0.01,-99,99.87,5.59,0.3,0
DD17BS4B0006,515205.221,7499105.255,506.254,1,42,43,412,51.5,8.17,6.57,0.153,0.43,10.29,0.008,0.18,0.15,0.06,-99,100.16,8.37,1.68,0
DD17BS4B0006,515205.213,7499105.242,505.254,1,43,44,412,51.65,15.27,1.83,0.186,0.21,8.13,0.006,0.06,0.08,0.04,-99,100.05,7.46,0.53,0
GC15BS4B0001,516917.36,7498547.372,622.622,2,0,2,435,58.57,5.44,3.27,0.067,0.038,6.16,0.021,0.13,0.1,0.84,-99,100,4.84,1.03,0
GC15BS4B0001,516917.389,7498547.03,620.651,2,2,4,435,58.88,9.63,1.41,0.071,0.02,3.87,0.031,0.07,0.12,0.34,-99,100,3.22,0.49,0
GC15BS4B0001,516917.418,7498546.688,618.681,2,4,6,435,58.45,7.42,2.83,0.094,0.031,5.34,0.039,0.12,0.08,0.19,-99,100,4.5,0.64,0
GC15BS4B0001,516917.443,7498546.335,616.713,2,6,8,435,61.94,4.86,1.36,0.086,0.019,4.52,0.035,0.05,0.08,0.22,-99,100.01,3.92,0.43,0
GC15BS4B0001,516917.468,7498545.98,614.745,2,8,10,435,60.4,7.07,1.5,0.097,0.018,4.52,0.033,0.09,0.05,0.05,-99,100.02,3.99,0.35,0
GC15BS4B0001,516917.493,7498545.626,612.776,2,10,12,435,61.97,3.94,1.28,0.114,0.013,5.55,0.049,0.08,0.05,0.05,-99,100.01,4.9,0.33,0
GC15BS4B0001,516917.518,7498545.272,610.808,2,12,14,435,63.03,3.47,1.12,0.071,0.012,4.85,0.038,0.05,0.05,0.03,-99,100.02,4.31,0.28,0
GC15BS4B0001,516917.543,7498544.917,608.84,2,14,16,435,60,6,1.5,0.063,0.052,6.02,0.053,0.18,0.04,0.02,-99,100,5.36,0.37,0
GC15BS4B0001,516917.566,7498544.572,606.87,2,16,18,435,63.76,3.56,0.51,0.082,0.022,4.36,0.03,0.01,0.04,0.01,-99,100,3.96,0.21,0
GC15BS4B0001,516917.59,7498544.227,604.9,2,18,20,435,64.63,3.74,0.48,0.067,0.021,3.01,0.024,0.01,0.04,0.01,-99,99.99,2.64,0.18,0
GC15BS4B0001,516917.613,7498543.881,602.931,2,20,22,435,63.53,3.82,0.75,0.079,0.032,4.14,0.028,0.06,0.04,0.01,-99,100,3.67,0.26,0
GC15BS4B0001,516917.637,7498543.536,600.961,2,22,24,435,64.47,2.26,0.81,0.118,0.031,4.24,0.029,0.04,0.03,0.01,-99,100,3.67,0.27,0
GC15BS4B0001,516917.66,7498543.19,598.991,2,24,26,435,61.17,3,2.06,0.218,0.021,6.66,0.034,0.13,0.01,0.01,-99,99.99,5.64,0.67,0
GC15BS4B0002,527694.018,7501455.974,530.524,2,10,12,435,48.03,12.2,8.33,0.049,0.013,9.71,0.026,0.53,0.19,0.07,-99,100.01,7.55,1.87,0
GC15BS4B0002,527694.008,7501455.615,528.557,2,12,14,435,52.59,9.52,6.25,0.071,0.017,8.14,0.026,0.32,0.18,0.07,-99,100.01,6.43,1.46,0
GC15BS4B0002,527693.998,7501455.256,526.589,2,14,16,435,58.96,5.01,3.18,0.122,0.04,6.72,0.018,0.14,0.14,0.06,-99,100,5.78,0.74,0
GC15BS4B0002,527693.997,7501454.887,524.623,2,16,18,435,50.04,9.09,7.51,0.178,0.05,10.56,0.023,0.35,0.2,0.08,-99,100,8.5,1.8,0
GC15BS4B0002,527693.997,7501454.517,522.658,2,18,20,435,53.24,8.16,6.49,0.156,0.062,8.25,0.018,0.21,0.13,0.06,-99,100.01,6.21,1.81,0
GC15BS4B0002,527693.996,7501454.148,520.692,2,20,22,435,61.36,3.68,2.59,0.142,0.049,5.27,0.011,0.11,0.11,0.05,-99,100.02,4.43,0.68,0
GC15BS4B0002,527693.996,7501453.779,518.727,2,22,24,435,61.04,3.76,2.64,0.17,0.032,5.56,0.006,0.09,0.1,0.08,-99,100,4.67,0.74,0
GC15BS4B0002,527693.995,7501453.409,516.761,2,24,26,435,63.11,2.66,1.92,0.151,0.026,4.6,0.003,0.08,0.06,0.03,-99,100.02,3.88,0.52,0
GC15BS4B0002,527694.002,7501453.041,514.795,2,26,28,435,56.21,5.38,4.38,0.281,0.035,8.78,0.004,0.15,0.11,0.1,-99,100.01,7.48,1.12,0
GC15BS4B0002,527694.009,7501452.673,512.829,2,28,30,435,61.16,2.46,2.2,0.202,0.028,7.08,0.003,0.1,0.08,0.08,-99,100,6.28,0.52,0
GC16BS4B0001,517030.782,7498939.348,628.949,2,0,2,435,61.02,5.33,1.69,0.069,0.11,4.95,0.022,0.05,0.09,0.06,-99,99.84,4.22,0.52,0
GC16BS4B0001,517031.351,7498939.001,627.064,2,2,4,435,61,5.93,2.22,0.078,0.1,3.85,0.018,0.09,0.09,0.06,-99,99.9,2.91,0.66,0
GC16BS4B0001,517031.92,7498938.654,625.178,2,4,6,435,60.93,6.44,2.39,0.055,0.09,3.24,0.019,0.12,0.04,0.05,-99,99.77,2.36,0.7,0
GC16BS4B0001,517032.497,7498938.284,623.299,2,6,8,435,59.98,6.09,3,0.083,0.06,4.64,0.029,0.08,0.04,0.06,-99,100.09,3.62,0.78,0
GC16BS4B0001,517033.074,7498937.908,621.421,2,8,10,435,63.06,2.98,1.25,0.096,0.06,4.9,0.034,0.03,0.05,0.1,-99,99.92,4.13,0.46,0
GC16BS4B0001,517033.652,7498937.533,619.543,2,10,12,435,61.58,4.51,1.88,0.09,0.06,4.66,0.027,0.09,0.08,0.1,-99,99.82,3.79,0.6,0
GC16BS4B0001,517034.229,7498937.158,617.666,2,12,14,402,54.11,9.71,6.36,0.067,0.04,5.92,0.025,0.24,0.08,0.07,-99,100.13,3.65,1.99,0
GC16BS4B0001,517034.807,7498936.783,615.788,2,14,16,402,60.04,5.41,3.58,0.051,0.02,4.42,0.017,0.14,0.06,0.04,-99,99.74,3.12,1.07,0
GC16BS4B0001,517035.383,7498936.402,613.911,2,16,18,402,62.66,3.26,1.78,0.097,0.03,4.8,0.02,0.05,0.05,0.04,-99,99.94,4,0.57,0
GC16BS4B0001,517035.96,7498936.02,612.035,2,18,20,402,64.91,1.87,0.91,0.081,0.02,4.1,0.016,0.02,0.03,0.03,-99,100.05,3.56,0.33,0
GC16BS4B0001,517036.536,7498935.639,610.158,2,20,22,402,64.43,2.13,1.26,0.095,0.03,4.06,0.017,0.03,0.04,0.03,-99,100.03,3.46,0.39,0
GC16BS4B0001,517037.112,7498935.257,608.281,2,22,24,402,61.44,4.08,2.66,0.129,0.05,4.96,0.02,0.04,0.05,0.03,-99,100.16,3.9,0.85,0
GC16BS4B0001,517037.689,7498934.876,606.404,2,24,26,402,57.2,6.3,4.48,0.125,0.07,6.64,0.038,0.07,0.06,0.04,-99,99.93,5.06,1.3,0
GC16BS4B0001,517038.268,7498934.49,604.529,2,26,28,402,60.47,4.69,3.4,0.102,0.07,4.91,0.033,0.06,0.03,0.03,-99,100.06,3.56,1.08,0
GC16BS4B0001,517038.847,7498934.103,602.654,2,28,30,402,62.53,2.66,1.95,0.094,0.03,5.45,0.036,0.03,0.02,0.02,-99,99.93,4.55,0.66,0
GC16BS4B0001,517039.426,7498933.717,600.779,2,30,32,402,64.45,1.34,0.92,0.07,0.02,5.34,0.032,0.02,0.02,0.02,-99,100.13,4.76,0.36,0
GC16BS4B0001,517040.004,7498933.331,598.904,2,32,34,402,61.66,1.95,1.92,0.1,0.03,7.16,0.039,0.09,0.04,0.02,-99,99.76,6.4,0.52,0
GC16BS4B0001,517040.583,7498932.945,597.029,2,34,36,402,58.1,5.27,4.51,0.085,0.01,6.44,0.028,0.11,0.05,0.03,-99,99.83,4.83,1.37,0
GC16BS4B0001,517041.164,7498932.557,595.155,2,36,38,402,62.55,2.75,2.09,0.112,0.03,5.27,0.017,0.04,0.05,0.03,-99,100.08,4.5,0.61,0
